Name Of Hotel,City,Country,Rating,Amenities,Description,Reviews
The Taj Mahal Tower Mumbai,Mumbai,India, 9.3 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, 
fabulous fitness centre
, Tea/coffee maker in all rooms, Bar","Built in 1973, the ","“The staff were very friendly and the attention to detail was exceptional
We were upgraded to the Palace ”
“Great location, great service, exceeds your expectations ”
"
The Leela Ambience Gurgaon Hotel & Residences,Gurgaon,India, 8.8 ,"1 swimming pool, Free WiFi, Airport shuttle, Fitness centre, Spa and wellness centre, Tea/coffee maker in all rooms, Bar","Just beside Ambience Mall, The Leela Ambience Hotel & Residences, Gurugram is located along the fringe of Gurgaon/Delhi NCR (National Capital Region) in Haryana. The hotel offers an outdoor pool, the award-winning Spa Lavanya and 3 dining options.","“We loved the over all ambience, the location, the over all value for money, location and the receptivity of the feedback by the staff. The staff was hospitable. The bakery has excellent preparation, the cake that was a chocolate mousse, extremely delicious. ”
“Leela has best properties and ambience Gurgaon has wow rooms I was little confuse to go first due to ongoing pandemics but the hotel  follow all safety measures from thermal scanning to hygiene sanitization I like the way how they give wow experience thanks to the manager Ms. Kanika who helped in flawless kitchen and being one point contact for all my queries room was spacious with all amenities meals were scrumptious planning to go again . All the best for leela team.”
"
Radisson Blu Plaza Delhi Airport,Delhi,India, 8.4 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, Fitness centre, Bar","Located only 1.9 miles away from Indira Gandhi International Airport along the Delhi-Gurgaon Expressway, Radisson Blu Plaza Delhi features luxurious and modern rooms with free WiFi. It features an outdoor pool, spa, fitness centre and 5 food and beverage options.","“Hotel staff is very courteous & professionals. Room was cleaned & the service is also good.Oher than the Over all my stay was good...”
“Everything, even though this is a coronavirus time and most facilities were closed the stay was very good.”
"
The Park New Delhi,Delhi,India, 7.2 ,"1 swimming pool, Free WiFi, Airport shuttle, Family rooms, Fitness centre, Bar",A luxury hotel in ,
JW Marriott Hotel Chandigarh,Chandīgarh,India, 8.7 ,"Free WiFi, Airport shuttle, Family rooms, 
exceptional fitness centre
, Spa and wellness centre, Room service, Bar","JW Marriott Hotel Chandigarh is a luxurious 5-star hotel located 11.2 miles from Chandigarh Airport. Featuring spacious air-conditioned rooms, the property also features a spa and wellness centre and a rooftop pool. Free parking is available on-site.","“Everything is good .. one suggestion change your straw quality as it made of paper .. from my point of view i think its not good for anyone's health .. use othe option otherwise dont use these straws .. mats of ground floor are also not well cleaned .. one more thing napkin is one of the mandatory thing its not in your logo as it was said by your staff members .. provide it at your hotels every table as this one is the neccesty ... behaviour of your staff is good they all are cooperating one .. so this is our feedback and reviews about your service .. thanks ..fl”
“Very clean and comfortable rooms. Nice breakfast. ”
"
"Country Inn & Suites by Radisson, Gurugram Sector 12",Gurgaon,India, 7.9 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, Fitness centre, Bar","Located 1.9 miles from DLF Cyber City and MG Road, Country Inn & Suites By Carlson Sec-12 features a rooftop restaurant and a rooftop swimming pool. Guests can relax at the health club and spa. Free WiFi and free parking are available.","“Overall good experience in terms of service and staff”
“Clean, comfortable, decor in excellent condition
Staff always ready to help and sometimes going above and beyond what was required. ”
"
Hyatt Regency Gurgaon,Gurgaon,India, 8.5 ,"1 swimming pool, Free WiFi, Airport shuttle, 
very good fitness centre
, Spa and wellness centre, Tea/coffee maker in all rooms, Bar","Featuring an outdoor swimming pool and complimentary WiFi, Hyatt Regency Gurgaon is located on Expressway NH8, which connects Delhi, Gurgaon and Jaipur. With easy access from Southern periphery road and Dwarka express highway, Manesar and Bhiwadi are 5.6 miles and 19.9 miles away respectively. Bilaspur is 1-hour drive away. The property is at a 15-miunte drive from Cyber City.","“Hyatt is an excellent hotel, extremely neat and clean and comfortable. Upon arrival we were warmly welcomed by the staff.  Front Desk Staff was excellent – Mr. Vishal and Mr. Mayank Arya made everything go smoothly when we arrived and departed. The atmosphere is so special that it really felt like home to me. All respect for everyone who does a great job here; a true sample of excellent hospitality! I also want to thanks Mr. Balkishan and Mr. Harbhajan for there help and support whenever needed. Food was great : Selection and quality was very much appreciated.The staffs were very helpful. The hotel provides u almost every facilities.I want to express to you and your staff how much we enjoyed our stay at your hotel.Hyatt is another name for hospitality! Keep up the great work, have a very prosperous and successful season. Once again thank you.❤️🌹🌹”
“The room was super clean and well put up just the way we saw in the pictures.”
"
Holiday Inn New Delhi International Airport,Delhi,India, 8.6 ,"1 swimming pool, Free WiFi, Airport shuttle, 
superb fitness centre
, Free parking, Bar",Offering an outdoor ,"“rooms were big. location was very close to the airport and food places”
“Breakfast was excellent,all staffs r very friendly n professional.”
"
Holiday Inn Express New Delhi International Airport T3,Delhi,India, 6.8 ,"Free WiFi, Fitness centre, Spa and wellness centre, Restaurant, Non-smoking rooms, 24-hour front desk, Bar","Located within the premises of the Indira Gandhi International Airport Terminal T3 and proving to be a haven for travellers, Holiday Inn Express New Delhi International Airport T3 boasts of a 24-hour coffee shop, a spa and a fitness centre. The 24-hour front desk can be approached for assistance at all hours. Free WiFi is available throughout the property.",
"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection",Ara,Emirates, 9.1 ,"1 swimming pool, Free WiFi, Family rooms, Free parking, 
fabulous fitness centre
, Tea/coffee maker in all rooms, Bar","The hotel offers a unique and relaxed vibe amongst the metropolis of the city. With close proximity to Dubai Mall, La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection features an outdoor pool and views of the city.","“The employees where very professional especially Maria she have a very positive attitude she made my stay amazing i will have another visit”
“The bed and the pillows were super comfortable. The location of the hotel was great, so many facilities and stores nearby. Other than the amazing design, the staff were super nice! From the valet all the way to the housekeeping.”
"
Grand Hyatt Abu Dhabi Hotel & Residences Emirates Pearl,Ara,Emirates, 9.0 ,"2 swimming pools, Free WiFi, Beachfront, Family rooms, 
superb fitness centre
, Tea/coffee maker in all rooms, Bar","Located in the iconic West Corniche district of Abu Dhabi, Grand Hyatt Abu Dhabi Hotel and Residences Emirates Pearl offers luxurious accommodations with free WiFi. The property is conveniently accessible to the city’s business hub, high-end shopping districts, and is a 35-minute drive from Abu Dhabi International Airport.","“My room was on the 29th floor and had an amazing view. Extras like the curtains closing   when you press the switch, seperate toilets, walk in wardrobe and dressing space,  seperate sinks in the bathroom made it more functional. Breakfast had good choices but no buffet due to covid19 restrictions. Staff were friendly and helpful. The pool was well located and the gym was very well equipped. Would highly recommend. ”
“Breakfast was brilliant. Staff were super friendly. And the view from our room was amazing. I have been twice and will go again! Also, it is priced really well.”
"
"Renaissance Downtown Hotel, Dubai",Ara,Emirates, 9.2 ,"1 swimming pool, Free WiFi, Family rooms, Free parking, 
very good fitness centre
, Tea/coffee maker in all rooms, Bar","Offering captivating views across the city skyline within walking distance of the vibrant Downtown area and Burj Khalifa, the newly opened Renaissance Downtown Hotel, Dubai sits directly on the Dubai Water Canal. It offers an indoor/outdoor swimming pool. The hotel boasts a strong portfolio of chef led dining experiences across 6 F&B outlets with multiple international cuisines and expert mixology.","“Service rates 11/10
Special mention for Maggie at reception ”
“The 2 staff who attended to us during our check in. 1 is the indonesian lady and the pther one is a guy i cant recall his name but he was there on 8 March during my check in at night. They are very nice and polite. ”
"
Hampton by Hilton Dubai Al Seef,Ara,Emirates, 9.0 ,"1 swimming pool, Free WiFi, Family rooms, 
very good fitness centre
, Restaurant, Bar","Located on the Dubai Creek, Hampton by Hilton Dubai Al Seef is playful, friendly and situated right in the heart of the hustle and bustle; perfect for eager explorers. Both free WiFi and private parking are available at the hotel.","“Everything ! The hotel is amazing- in a great location with great views and next to a lovely walk along the creek with nice restaurants and coffee shops. The rooms are comfortable and quirky with some great art pieces throughout. Breakfast was delicious with a lovely variety of hot and cold items. A wonderful stay and I look forward to my next visit.”
“I loved the Decor, very 21st century, fun and playful. Good for my social pictures. I enjoyed the steam room, the calm music was a perfect touch to help me relax. I loved the breakfast display and the creative plates and cups with sentences on it. The location was perfect, it is close shops, restaurants, the Abra (traditional boat) and souq (market)”
"
Rove Dubai Marina,Ara,Emirates, 9.0 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, 
fabulous fitness centre
, Tea/coffee maker in all rooms","Located in one of Dubai’s most vibrant and spectacular neighborhoods, Rove Dubai Marina is the perfect destination for leisure travelers. Surrounded by stunning high-rise buildings as well as a wide variety of shopping and dining outlets including Dubai Marina Mall, the hotel is nearby the beach and barely a few minutes driving distance from The Palm. Downtown Dubai and The Dubai Mall are just 20 minutes away.Business hotspots including Dubai Media City, Dubai Internet City and Jebel Ali Freezone are also within close proximity.","“Friendly staff, good location, clean & comfortable rooms”
“Rove has an exceptional service standard, which I admire, and they often put it to practice exceptionally. The service is thus perhaps the best thing that I liked the most.”
"
Pearl Rotana Capital Centre,Ara,Emirates, 9.0 ,"1 swimming pool, Free WiFi, Family rooms, Airport shuttle, 
very good fitness centre
, Bar","Located at the heart of Abu Dhabi’s business district, Pearl Rotana Capital Centre is a modern deluxe hotel. Abu Dhabi National Exhibition Centre (ADNEC) is just steps from the 4-star property, while the city’s Downtown is a short drive away.","“We had two connecting rooms that were both clean, spacious and great for the price. The in-room dining food was great. I needed an adapter to charge one of my devices and the staff provided one to me.”
“Very good service. Very good value for money. Just the staff for checking could be more friendly ”
"
Rove Healthcare City,Ara,Emirates, 9.0 ,"1 swimming pool, Free WiFi, Airport shuttle, 
fabulous fitness centre
, Restaurant, Tea/coffee maker in all rooms",Set in the Bur ,"“The HDMI cable setup and the design of everything.
I liked they didnt have those small shampoos and earth killing small bottlws.”
“The hotel its very good. The room was clean. The breakfast was really good. The staff is very nice. We recommend the hotel 100%”
"
Al Bandar Rotana – Dubai Creek,Ara,Emirates, 9.1 ,"1 swimming pool, Free WiFi, Airport shuttle, 
fabulous fitness centre
, Spa and wellness centre, Bar","Al Bandar Rotana is a striking, ultra-modern hotel with a prime waterside location in the city’s original heartland. Ideal for business and leisure travellers, the elegant five-star property, which sits on the edge of Dubai Creek is close to several attractions including the Dubai Creek Golf & Yacht Club, Dubai Dolphinarium at Creek Park and the new Rise Dubai Creek Harbour development — an entertainment centre that plays host to live music, DJ sets, movie screenings and unusual casual dining concepts.","“The room was very comfortable and a good size. Beautiful views were offered to the burj Khalifa. Very good value and lovely staff. 
”
“There was a wide variety of choices available for breakfast, the club lounge is a beautiful space and comes with many benefits such as high afternoon tea and evening canapés. The staff were very attentive and very polite with smiles. Housekeeping done a wonderful job everyday and had positive attitude towards their jobs. The suite and hotel as a whole exceeded my expectations and I will be staying here again in the near future.”
"
Holiday Inn - Dubai Festival City,Ara,Emirates, 9.0 ,"2 swimming pools, Free WiFi, Family rooms, Free parking, 
good fitness centre
","Directly connected to the Dubai Festival City Mall home to 500 retail stores, restaurants and kids/family entertainment, Holiday Inn - Dubai Festival City is a 4-star property perfect for families with with its Family Suites. Guests can enjoy free Wifi thoughout the hotel.","“Great place to stay at Festival City. I was attending the conference and it was the best decision to stay there. I really enjoyed everything. It was clean, new and comfortable with a reasonable price for Dubai.”
“very convenient location, staff excellent and room very clean”
"
Rove Trade Centre,Ara,Emirates, 9.1 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, 
very good fitness centre
, Tea/coffee maker in all rooms",Strategically placed between ,"“The receptionist in the night shift if im correct his name is mostafa was very helpful and professional would like to say thanks for him keep it up the good work guys and stay safe ”
“Welcoming  staff especially Beatrice 
Clean rooms 
The hotel is very flexible 
”
"
"Atlantis The Palm, Dubai",Ara,Emirates, 8.7 ,"2 swimming pools, Free WiFi, Beachfront, Family rooms, 
very good fitness centre
, Tea/coffee maker in all rooms, Bar",Located on Dubai’s Palm Jumeirah Island and enjoys a ,"“All was good, and I salute their efforts to cope with COVID era”
“Was our 3rd stay at the Atlantis and service/facilities have improved and exceeded our expectations! The regal suite and associated benefit is worth the money. Definitely coming back.”
"
Hilton Ras Al Khaimah Resort & Spa,Ara,Emirates, 7.7 ,"2 swimming pools, Beachfront, Free WiFi, Family rooms, Airport shuttle, Tea/coffee maker in all rooms, Bar","This luxurious 5-star resort is on the northern tip of the Arabian Peninsula. It has 0.9 miles of private white sandy beach, a separate children's play area and offers villas with furnished balconies and views of the Arabian Sea.","“During the pandemic if provided a safe, clean, friendly space where I felt secure and cared for. So thank you...”
“Nice Location, great choice Beach Access Villa, breakfast with large variety, overall good experience”
"
The Meydan Hotel,Ara,Emirates, 8.7 ,"2 swimming pools, Free WiFi, Airport shuttle, Family rooms, 
very good fitness centre
, Tea/coffee maker in all rooms, Bar","The world’s first 5-star trackside hotel designed in the shape of a wave in motion with a luminous green glass facade, The Meydan offers ","“The room was phenomenal and spacious! We loved the little getaway and the location was perfect for us. The breakfast exceeded my expectations and I woke up early for it everyday even when I felt like staying in the massive and extremely comfortable bed or taking a soak in the grand sized bathtub. Staff was super friendly and accommodating for the duration of our stay making sure we had everything we needed! We even deceived to extend our stay”
“It was realy nice experience we enjoyed staying in this Hotel. The service was perfect and the breakfast also.The location also nice.”
"
"Khalidiya Palace Rayhaan by Rotana, Abu Dhabi",Ara,Emirates, 8.8 ,"1 swimming pool, Free WiFi, Beachfront, Family rooms, Airport shuttle, Tea/coffee maker in all rooms",Cast away in the turquoise waters of the Arabian Gulf Sea and conveniently located near the breath-taking ,"“The cleaness 
The beach and swimming pool 
The high quality service 
The friendly and respected staff 
”
“We were staying a 1 night in this hotel. We would like to say thank you to all hotel stuff, very accommodative, friendly, responsive and helpful. We had a late check in due to busy reception hours, however, we were offered to have a late check out as well on the next day. Pool and beach facilities are clean and well monitored by lifeguards and housekeeping.  Safety measures are on the good strict level. The variety of food during evening time is not so big, however it was well cooked, very delicious and comes in a big portion. Breakfast was good as well. We are specially thankful to reception lady Joanna, who assisted us during check in, and big thank you to all Ukrainian and Russian stuff as well who assisted us. (sorry don't remember names). Would recommend hotel to stay with your kids as well, as we saw a lot of them(like sooooo many of them). They have a great pool for little ones, which is supervised by lifeguards as well.”
"
Fairmont The Palm,Ara,Emirates, 8.5 ,"2 swimming pools, Free WiFi, Airport shuttle, Beachfront, Family rooms, Bar","Located directly on its own private beach in the Palm Jumeirah, Fairmont The Palm is a 5 star hotel, offering luxurious accommodation with spectacular views. It boasts 4 outdoor swimming pools and 11 restaurants and bars. Dubai Marina is 5 miles away, while the newly opened Nakheel Mall is within walking distance.","“Omair at the reception provided exemplary customer service. Overall management of Covid related restrictions was great.”
“The staff at the Fairmont at the Palm were all amazing, right from check in, all the way through to check out. They all made sure we were safe at all times and were super accommodating. We loved it so much, we went back for a couple of days at the end of our holiday! ”
"
DoubleTree by Hilton Resort & Spa Marjan Island,Ara,Emirates, 7.5 ,"8 swimming pools, Beachfront, Family rooms, Airport shuttle, Tea/coffee maker in all rooms, Bar",Located at Marjan Island ,"“Breakfast was average,location was good and room was lovely..beach,swimming pool was nice the only thing I would recommend is possibly extending the pool hours by 1hour during the hotter months but overall it was really lovely and we enjoyed our stay :-)”
“pool and kids facility, bed comfort super B, nice breakfast, good value for money”
"
Rixos Bab Al Bahr - All Inclusive,Ara,Emirates, 8.0 ,"2 swimming pools, Beachfront, Free WiFi, Family rooms, Free parking, Airport shuttle, Bar",This ,"“Some staff are really working very hard to maintain cleanness and order. Respect for them.”
“Staff of 7 height resturant was cooperative and friendly ”
"
Wyndham Dubai Marina,Ara,Emirates, 8.3 ,"1 swimming pool, Free WiFi, Family rooms, 
good fitness centre
, Spa and wellness centre, Bar",Wyndham Dubai Marina is an upscale hotel with breathtaking ,"“Karim at the reception provided great service and gave us an amazing upgrade to a beautiful suite. We also received a lovely cake for our anniversary celebration. The manager in the lobby was very nice and helpful.Breakfast was very smooth and delicious.”
“I loved every bit of this hotel..from staff straight to the rooms. Great customer service from Karim, Bikram and Simon.Great location very close to the beach and metro. Shops and restaurants around plus the rooms are just out of this world.We got to enjoy the best view courtesy of Karim, you won our hearts maahn. Keep up the good job and for your great customer service, you will definately see our faces again. Its worth every coin”
"
JW Marriott Muscat,Muscat,Oman, 9.2 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, Fitness centre, Tea/coffee maker in all rooms, Bar","Situated in Muscat, and directly linked to the Oman Convention and Exhibition Centre, JW Marriott Muscat features accommodation with a restaurant, free private parking, an outdoor swimming pool and a fitness centre. With a bar, the property also has three gardens, as well as a multipurpose court. The accommodation provides a 24-hour front desk, airport transfers, room service and free WiFi throughout the property.","“Alle personen die daar werken waren super vriendelijk en gedienstig.All people working in this hotel were very very friendly and helpful .”
“The location is a bit in the middle of nowhere, but close to the airport and the office where I needed to go. Breakfast spread was amazing. Hotel rooms are very comfortable and staff is very pleasant, always available to assist you and make your stay comfortable.”
"
Royal Tulip Muscat,Muscat,Oman, 9.1 ,"1 swimming pool, Free WiFi, Airport shuttle, Free parking, Family rooms, Tea/coffee maker in all rooms","Situated in Muscat, 1.1 miles from Oman Avenues Mall, Royal Tulip Muscat features accommodation with a restaurant, free private parking, an outdoor swimming pool and a fitness centre. Boasting family rooms, this property also provides guests with a sun terrace. The accommodation offers a 24-hour front desk, room service and currency exchange for guests.","“Loved everything about the stay. Staff were very helpful and smiles on their faces through this difficult time. The rooftop pool is definitely something you need to try especially at sunset. ”
“Fabulous staff at every level and department, new hotel, exceptional in every way. Central location.”
"
Crowne Plaza Muscat,Muscat,Oman, 9.0 ,"1 swimming pool, Free WiFi, Beachfront, Family rooms, 
very good fitness centre
, Bar","Overlooking the Gulf of Oman, Crowne Plaza Muscat features a ","“Staff were helpful and friendly. 
Berekfast was excellent. 
Nice view to the beach. 
Wifi is good. ”
“Good wide spread of breakfast. Pool we did not use coz of the covid. Rooms and staff were excellent.”
"
